# Added edges from SNAP-Guided Spectral Repair
# Format: source target
# Total edges added: 100
776	1
776	1830
1936	7326
1725	11042
1936	11363
1305	1879
776	701
776	11656
1936	12031
1589	12140
8693	6147
2418	5409
776	3146
1305	6266
1589	701
1936	7964
776	8376
5256	1
12778	6163
5105	701
5958	7442
776	1503
2721	5556
12704	12400
619	7716
1305	11677
8288	12491
781	7501
776	7332
1936	5378
9470	12292
9736	1849
619	7018
2838	701
2721	9505
1649	1755
2721	6332
619	5385
1305	14147
1741	10578
2837	6453
1708	8716
11432	5430
9727	4665
9097	4732
1936	701
1300	4780
781	12263
776	7018
2721	9010
619	11022
2721	11890
1653	10993
5958	7018
2701	10755
619	3257
5256	13379
1649	8793
5839	3343
9736	701
1708	9059
12398	3553
1113	3951
9470	702
8693	4767
9213	9688
1708	7018
3343	12194
1305	11752
8670	701
9213	9759
1113	6178
1649	7037
12780	10834
544	10714
6658	11388
12704	8717
8229	701
1936	12125
1300	2611
776	9666
781	1740
1304	174
9736	1326
9736	5405
8670	4766
3343	9303
2839	2222
3343	9734
9088	8007
1717	752
5958	12114
619	3816
1303	3786
1649	6250
3343	8700
5567	1874
1113	2764
8670	7018
8370	7332
